index,county,year,crashes
0,Clay,2021,61
1,Duval,2021,431
2,Nassau,2021,20
3,St. Johns,2021,83
4,Clay,2022,55
5,Duval,2022,430
6,Nassau,2022,40
7,St. Johns,2022,119
8,Clay,2023,71
9,Duval,2023,379
10,Nassau,2023,32
11,St. Johns,2023,87
12,Clay,2024,49
13,Duval,2024,390
14,Nassau,2024,32
15,St. Johns,2024,80
16,Clay,2025,48
17,Duval,2025,375
18,Nassau,2025,30
19,St. Johns,2025,80
