index,county,year,crashes
4,Clay,2020,1044
5,Duval,2020,8360
6,Nassau,2020,456
7,St. Johns,2020,1149
8,Clay,2021,1121
9,Duval,2021,9818
10,Nassau,2021,503
11,St. Johns,2021,1325
12,Clay,2022,1114
13,Duval,2022,10580
14,Nassau,2022,483
15,St. Johns,2022,1325
16,Clay,2023,1117
17,Duval,2023,10556
18,Nassau,2023,515
19,St. Johns,2023,1255
20,Clay,2024,1136
21,Duval,2024,10314
22,Nassau,2024,466
23,St. Johns,2024,1316
