index,Year,County,Speed
5,2020,Clay,43.21
7,2020,Duval,53.72
9,2020,Nassau,54.46
15,2020,St. Johns,57.82
17,2021,Clay,43.2
19,2021,Duval,54
25,2021,Nassau,60.3
27,2021,St. Johns,60.2
29,2022,Clay,42.8
35,2022,Duval,52.7
37,2022,Nassau,57.3
39,2022,St. Johns,58.3
41,2023,Clay,42.3
43,2023,Duval,51.4
45,2023,Nassau,57.3
47,2023,St. Johns,57.2
41,2024,Clay,42.5
43,2024,Duval,50.9
45,2024,Nassau,57.3
47,2024,St. Johns,56.8
