Index,year,Good_Condition,Poor_Condition
1,2019,51.5%,0.7%
2,2020,51.2%,0.9%
3,2021,52.2%,0.9%
4,2022,51.0%,0.7%
5,2023,50.9%,0.7%
6,2025 Target,50.0%,5.0%
