Index,Category,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Total
0,Events included in Performance Measures,268,260,267,204,999
1,Notification Duration,0,0,0,0,0
2,Verification Duration,1.9,2,2.2,2.4,2.1
3,Response Duration,4.7,3.3,4.7,6.1,4.6
4,Open Roads Duration,45.2,34.5,42.7,41.8,41.1
5,Departure Duration,14.2,16.4,13,14.7,14.6
6,Roadway Clearance Duration,51.8,39.8,49.6,50.4,47.8
7,Incident Clearance Duration,66.2,56.2,62.6,65,62.4
