index,Year,County,PedFatal,PedTotals,Ped_PC,BikeFatal,BikeTotals,Bike_PC
1,2021,Duval,45,59,15.7,6,9,-11.8
2,2022,Duval,43,58,13.7,5,8,-13.7
3,2023,Duval,44,62,21.6,5,10,-9.8
4,2024,Duval,41,,,10,,
5,2025,Duval,39,,,11,,
6,2021,St. Johns,9,59,15.7,1,9,-11.8
7,2022,St. Johns,7,58,13.7,1,8,-13.7
8,2023,St. Johns,7,62,21.6,3,10,-9.8
9,2024,St. Johns,6,,,0,,
10,2025,St. Johns,4,,,3,,
11,2021,Clay,4,59,15.7,1,9,-11.8
12,2022,Clay,7,58,13.7,2,8,-13.7
13,2023,Clay,9,62,21.6,1,10,-9.8
14,2024,Clay,4,,,2,,
15,2025,Clay,5,,,0,,
16,2021,Nassau,1,59,15.7,1,9,-11.8
17,2022,Nassau,1,58,13.7,0,8,-13.7
18,2023,Nassau,2,62,21.6,1,10,-9.8
19,2024,Nassau,2,,,0,,
20,2025,Nassau,2,,,3,,
