index,county,year,drivers
8,Clay,2021,178178
9,Duval,2021,737731
10,Nassau,2021,78415
11,St. Johns,2021,229763
12,Clay,2022,178943
13,Duval,2022,750421
14,Nassau,2022,80958
15,St. Johns,2022,240491
16,Clay,2023,188783
17,Duval,2023,769479
18,Nassau,2023,85894
19,St. Johns,2023,258652
20,Clay,2024,191500
21,Duval,2024,777275
22,Nassau,2024,88004
23,St. Johns,2024,266464
24,Clay,2025,194623
25,Duval,2025,790791
26,Nassau,2025,90051
27,St. Johns,2025,277454
