Index,Category,FY24_Qtr,Mins
0,Open Roads Duration,1st Quarter,52.1
1,Roadway Clearance Duration,1st Quarter,59.1
2,Open Roads Duration,2nd Quarter,47.3
3,Roadway Clearance Duration,2nd Quarter,54.2
4,Open Roads Duration,3rd Quarter,51.9
5,Roadway Clearance Duration,3rd Quarter,59.5
6,Open Roads Duration,4th Quarter,53.3
7,Roadway Clearance Duration,4th Quarter,60.7
